area,year,item_no,item_short,measure,category,label,points,n,pct
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","1","1. อบต.",5,1310,80.71
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",4,273,16.82
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",3,4,0.25
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","4","4. เทศบาลนคร",0,2,0.12
"พื้นที่สูง",2565,3,"เขต อปท.","ordinal","blank","(ไม่ได้กรอก)",,34,2.09
"พื้นที่สูง",2566,3,"เขต อปท.","ordinal","1","1. อบต.",5,141,61.84
"พื้นที่สูง",2566,3,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",4,68,29.82
"พื้นที่สูง",2566,3,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",3,1,0.44
"พื้นที่สูง",2566,3,"เขต อปท.","ordinal","4","4. เทศบาลนคร",0,0,0
"พื้นที่สูง",2566,3,"เขต อปท.","ordinal","blank","(ไม่ได้กรอก)",,18,7.89
"พื้นที่สูง",2567,3,"เขต อปท.","ordinal","1","1. อบต.",5,39,63.93
"พื้นที่สูง",2567,3,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",4,8,13.11
"พื้นที่สูง",2567,3,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",3,1,1.64
"พื้นที่สูง",2567,3,"เขต อปท.","ordinal","4","4. เทศบาลนคร",0,1,1.64
"พื้นที่สูง",2567,3,"เขต อปท.","ordinal","blank","(ไม่ได้กรอก)",,12,19.67
"พื้นที่สูง",2569,3,"เขต อปท.","ordinal","1","1. อบต.",5,39,53.42
"พื้นที่สูง",2569,3,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",4,7,9.59
"พื้นที่สูง",2569,3,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",3,0,0
"พื้นที่สูง",2569,3,"เขต อปท.","ordinal","4","4. เทศบาลนคร",0,0,0
"พื้นที่สูง",2569,3,"เขต อปท.","ordinal","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่สูง",2565,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0 (ไม่มีเส้นทางลำบาก)","0 (ไม่มีเส้นทางลำบาก)",,1423,87.68
"พื้นที่สูง",2565,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0.01–1.99","0.01–1.99",,13,0.8
"พื้นที่สูง",2565,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","2–4.99","2–4.99",,32,1.97
"พื้นที่สูง",2565,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","5–9.99","5–9.99",,49,3.02
"พื้นที่สูง",2565,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","≥ 10","≥ 10",,106,6.53
"พื้นที่สูง",2566,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0 (ไม่มีเส้นทางลำบาก)","0 (ไม่มีเส้นทางลำบาก)",,218,95.61
"พื้นที่สูง",2566,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0.01–1.99","0.01–1.99",,1,0.44
"พื้นที่สูง",2566,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","2–4.99","2–4.99",,4,1.75
"พื้นที่สูง",2566,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","5–9.99","5–9.99",,2,0.88
"พื้นที่สูง",2566,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","≥ 10","≥ 10",,3,1.32
"พื้นที่สูง",2567,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0 (ไม่มีเส้นทางลำบาก)","0 (ไม่มีเส้นทางลำบาก)",,58,95.08
"พื้นที่สูง",2567,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0.01–1.99","0.01–1.99",,1,1.64
"พื้นที่สูง",2567,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","2–4.99","2–4.99",,0,0
"พื้นที่สูง",2567,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","5–9.99","5–9.99",,0,0
"พื้นที่สูง",2567,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","≥ 10","≥ 10",,2,3.28
"พื้นที่สูง",2569,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0 (ไม่มีเส้นทางลำบาก)","0 (ไม่มีเส้นทางลำบาก)",,70,95.89
"พื้นที่สูง",2569,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","0.01–1.99","0.01–1.99",,1,1.37
"พื้นที่สูง",2569,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","2–4.99","2–4.99",,1,1.37
"พื้นที่สูง",2569,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","5–9.99","5–9.99",,0,0
"พื้นที่สูง",2569,4,"ถนนรถ 2 ล้อไปไม่ได้","continuous","≥ 10","≥ 10",,1,1.37
"พื้นที่สูง",2565,5,"ระยะทางถึงศาลากลาง","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,19,1.17
"พื้นที่สูง",2565,5,"ระยะทางถึงศาลากลาง","continuous","1–49","1–49",,149,9.18
"พื้นที่สูง",2565,5,"ระยะทางถึงศาลากลาง","continuous","50–99","50–99",,625,38.51
"พื้นที่สูง",2565,5,"ระยะทางถึงศาลากลาง","continuous","100–149","100–149",,494,30.44
"พื้นที่สูง",2565,5,"ระยะทางถึงศาลากลาง","continuous","150–199","150–199",,255,15.71
"พื้นที่สูง",2565,5,"ระยะทางถึงศาลากลาง","continuous","≥ 200","≥ 200",,81,4.99
"พื้นที่สูง",2566,5,"ระยะทางถึงศาลากลาง","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,17,7.46
"พื้นที่สูง",2566,5,"ระยะทางถึงศาลากลาง","continuous","1–49","1–49",,29,12.72
"พื้นที่สูง",2566,5,"ระยะทางถึงศาลากลาง","continuous","50–99","50–99",,130,57.02
"พื้นที่สูง",2566,5,"ระยะทางถึงศาลากลาง","continuous","100–149","100–149",,48,21.05
"พื้นที่สูง",2566,5,"ระยะทางถึงศาลากลาง","continuous","150–199","150–199",,3,1.32
"พื้นที่สูง",2566,5,"ระยะทางถึงศาลากลาง","continuous","≥ 200","≥ 200",,1,0.44
"พื้นที่สูง",2567,5,"ระยะทางถึงศาลากลาง","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,0,0
"พื้นที่สูง",2567,5,"ระยะทางถึงศาลากลาง","continuous","1–49","1–49",,12,19.67
"พื้นที่สูง",2567,5,"ระยะทางถึงศาลากลาง","continuous","50–99","50–99",,34,55.74
"พื้นที่สูง",2567,5,"ระยะทางถึงศาลากลาง","continuous","100–149","100–149",,9,14.75
"พื้นที่สูง",2567,5,"ระยะทางถึงศาลากลาง","continuous","150–199","150–199",,2,3.28
"พื้นที่สูง",2567,5,"ระยะทางถึงศาลากลาง","continuous","≥ 200","≥ 200",,4,6.56
"พื้นที่สูง",2569,5,"ระยะทางถึงศาลากลาง","continuous","0 (ไม่มีข้อมูล)","0 (ไม่มีข้อมูล)",,0,0
"พื้นที่สูง",2569,5,"ระยะทางถึงศาลากลาง","continuous","1–49","1–49",,8,10.96
"พื้นที่สูง",2569,5,"ระยะทางถึงศาลากลาง","continuous","50–99","50–99",,42,57.53
"พื้นที่สูง",2569,5,"ระยะทางถึงศาลากลาง","continuous","100–149","100–149",,22,30.14
"พื้นที่สูง",2569,5,"ระยะทางถึงศาลากลาง","continuous","150–199","150–199",,1,1.37
"พื้นที่สูง",2569,5,"ระยะทางถึงศาลากลาง","continuous","≥ 200","≥ 200",,0,0
"พื้นที่สูง",2565,6,"ขนส่งสาธารณะ","ordinal","1","1. ไม่มีรถประจำทาง",5,1259,77.57
"พื้นที่สูง",2565,6,"ขนส่งสาธารณะ","ordinal","2","2. ≤2 เที่ยว/วัน",4,178,10.97
"พื้นที่สูง",2565,6,"ขนส่งสาธารณะ","ordinal","3","3. ≤4 เที่ยว/วัน",3,66,4.07
"พื้นที่สูง",2565,6,"ขนส่งสาธารณะ","ordinal","4","4. ≤6 เที่ยว/วัน",1,32,1.97
"พื้นที่สูง",2565,6,"ขนส่งสาธารณะ","ordinal","5","5. >6 เที่ยว/วัน",1,52,3.2
"พื้นที่สูง",2565,6,"ขนส่งสาธารณะ","ordinal","blank","(ไม่ได้กรอก)",,36,2.22
"พื้นที่สูง",2566,6,"ขนส่งสาธารณะ","ordinal","1","1. ไม่มีรถประจำทาง",5,152,66.67
"พื้นที่สูง",2566,6,"ขนส่งสาธารณะ","ordinal","2","2. ≤2 เที่ยว/วัน",4,39,17.11
"พื้นที่สูง",2566,6,"ขนส่งสาธารณะ","ordinal","3","3. ≤4 เที่ยว/วัน",3,5,2.19
"พื้นที่สูง",2566,6,"ขนส่งสาธารณะ","ordinal","4","4. ≤6 เที่ยว/วัน",1,6,2.63
"พื้นที่สูง",2566,6,"ขนส่งสาธารณะ","ordinal","5","5. >6 เที่ยว/วัน",1,8,3.51
"พื้นที่สูง",2566,6,"ขนส่งสาธารณะ","ordinal","blank","(ไม่ได้กรอก)",,18,7.89
"พื้นที่สูง",2567,6,"ขนส่งสาธารณะ","ordinal","1","1. ไม่มีรถประจำทาง",5,41,67.21
"พื้นที่สูง",2567,6,"ขนส่งสาธารณะ","ordinal","2","2. ≤2 เที่ยว/วัน",4,2,3.28
"พื้นที่สูง",2567,6,"ขนส่งสาธารณะ","ordinal","3","3. ≤4 เที่ยว/วัน",3,2,3.28
"พื้นที่สูง",2567,6,"ขนส่งสาธารณะ","ordinal","4","4. ≤6 เที่ยว/วัน",1,2,3.28
"พื้นที่สูง",2567,6,"ขนส่งสาธารณะ","ordinal","5","5. >6 เที่ยว/วัน",1,4,6.56
"พื้นที่สูง",2567,6,"ขนส่งสาธารณะ","ordinal","blank","(ไม่ได้กรอก)",,10,16.39
"พื้นที่สูง",2569,6,"ขนส่งสาธารณะ","ordinal","1","1. ไม่มีรถประจำทาง",5,31,42.47
"พื้นที่สูง",2569,6,"ขนส่งสาธารณะ","ordinal","2","2. ≤2 เที่ยว/วัน",4,5,6.85
"พื้นที่สูง",2569,6,"ขนส่งสาธารณะ","ordinal","3","3. ≤4 เที่ยว/วัน",3,0,0
"พื้นที่สูง",2569,6,"ขนส่งสาธารณะ","ordinal","4","4. ≤6 เที่ยว/วัน",1,3,4.11
