area,year,item_no,item_short,measure,category,label,points,n,pct
"พื้นที่สูง",2567,11,"% ชาติพันธุ์","percent","25–49.99%","25–49.99%",,4,6.56
"พื้นที่สูง",2567,11,"% ชาติพันธุ์","percent","50–74.99%","50–74.99%",,1,1.64
"พื้นที่สูง",2567,11,"% ชาติพันธุ์","percent","75–99.99%","75–99.99%",,4,6.56
"พื้นที่สูง",2567,11,"% ชาติพันธุ์","percent","100%","100%",,5,8.2
"พื้นที่สูง",2569,11,"% ชาติพันธุ์","percent","0%","0%",,50,68.49
"พื้นที่สูง",2569,11,"% ชาติพันธุ์","percent","0.01–24.99%","0.01–24.99%",,15,20.55
"พื้นที่สูง",2569,11,"% ชาติพันธุ์","percent","25–49.99%","25–49.99%",,3,4.11
"พื้นที่สูง",2569,11,"% ชาติพันธุ์","percent","50–74.99%","50–74.99%",,2,2.74
"พื้นที่สูง",2569,11,"% ชาติพันธุ์","percent","75–99.99%","75–99.99%",,0,0
"พื้นที่สูง",2569,11,"% ชาติพันธุ์","percent","100%","100%",,3,4.11
"พื้นที่สูง",2565,12,"จำนวนกลุ่มชาติพันธุ์","count","0 กลุ่ม","0 กลุ่ม",,309,19.04
"พื้นที่สูง",2565,12,"จำนวนกลุ่มชาติพันธุ์","count","1 กลุ่ม","1 กลุ่ม",,538,33.15
"พื้นที่สูง",2565,12,"จำนวนกลุ่มชาติพันธุ์","count","2 กลุ่ม","2 กลุ่ม",,276,17.01
"พื้นที่สูง",2565,12,"จำนวนกลุ่มชาติพันธุ์","count","3 กลุ่ม","3 กลุ่ม",,216,13.31
"พื้นที่สูง",2565,12,"จำนวนกลุ่มชาติพันธุ์","count","4 กลุ่ม","4 กลุ่ม",,144,8.87
"พื้นที่สูง",2565,12,"จำนวนกลุ่มชาติพันธุ์","count","≥ 5 กลุ่ม","≥ 5 กลุ่ม",,140,8.63
"พื้นที่สูง",2566,12,"จำนวนกลุ่มชาติพันธุ์","count","0 กลุ่ม","0 กลุ่ม",,125,54.82
"พื้นที่สูง",2566,12,"จำนวนกลุ่มชาติพันธุ์","count","1 กลุ่ม","1 กลุ่ม",,41,17.98
"พื้นที่สูง",2566,12,"จำนวนกลุ่มชาติพันธุ์","count","2 กลุ่ม","2 กลุ่ม",,22,9.65
"พื้นที่สูง",2566,12,"จำนวนกลุ่มชาติพันธุ์","count","3 กลุ่ม","3 กลุ่ม",,17,7.46
"พื้นที่สูง",2566,12,"จำนวนกลุ่มชาติพันธุ์","count","4 กลุ่ม","4 กลุ่ม",,7,3.07
"พื้นที่สูง",2566,12,"จำนวนกลุ่มชาติพันธุ์","count","≥ 5 กลุ่ม","≥ 5 กลุ่ม",,16,7.02
"พื้นที่สูง",2567,12,"จำนวนกลุ่มชาติพันธุ์","count","0 กลุ่ม","0 กลุ่ม",,35,57.38
"พื้นที่สูง",2567,12,"จำนวนกลุ่มชาติพันธุ์","count","1 กลุ่ม","1 กลุ่ม",,11,18.03
"พื้นที่สูง",2567,12,"จำนวนกลุ่มชาติพันธุ์","count","2 กลุ่ม","2 กลุ่ม",,5,8.2
"พื้นที่สูง",2567,12,"จำนวนกลุ่มชาติพันธุ์","count","3 กลุ่ม","3 กลุ่ม",,2,3.28
"พื้นที่สูง",2567,12,"จำนวนกลุ่มชาติพันธุ์","count","4 กลุ่ม","4 กลุ่ม",,3,4.92
"พื้นที่สูง",2567,12,"จำนวนกลุ่มชาติพันธุ์","count","≥ 5 กลุ่ม","≥ 5 กลุ่ม",,5,8.2
"พื้นที่สูง",2569,12,"จำนวนกลุ่มชาติพันธุ์","count","0 กลุ่ม","0 กลุ่ม",,50,68.49
"พื้นที่สูง",2569,12,"จำนวนกลุ่มชาติพันธุ์","count","1 กลุ่ม","1 กลุ่ม",,13,17.81
"พื้นที่สูง",2569,12,"จำนวนกลุ่มชาติพันธุ์","count","2 กลุ่ม","2 กลุ่ม",,6,8.22
"พื้นที่สูง",2569,12,"จำนวนกลุ่มชาติพันธุ์","count","3 กลุ่ม","3 กลุ่ม",,3,4.11
"พื้นที่สูง",2569,12,"จำนวนกลุ่มชาติพันธุ์","count","4 กลุ่ม","4 กลุ่ม",,1,1.37
"พื้นที่สูง",2569,12,"จำนวนกลุ่มชาติพันธุ์","count","≥ 5 กลุ่ม","≥ 5 กลุ่ม",,0,0
"พื้นที่สูง",2565,13,"นักเรียนยากจน","count","0 คน","0 คน",,150,9.24
"พื้นที่สูง",2565,13,"นักเรียนยากจน","count","1–20","1–20",,229,14.11
"พื้นที่สูง",2565,13,"นักเรียนยากจน","count","21–50","21–50",,356,21.93
"พื้นที่สูง",2565,13,"นักเรียนยากจน","count","51–100","51–100",,387,23.84
"พื้นที่สูง",2565,13,"นักเรียนยากจน","count","101–200","101–200",,326,20.09
"พื้นที่สูง",2565,13,"นักเรียนยากจน","count","≥ 201","≥ 201",,175,10.78
"พื้นที่สูง",2566,13,"นักเรียนยากจน","count","0 คน","0 คน",,42,18.42
"พื้นที่สูง",2566,13,"นักเรียนยากจน","count","1–20","1–20",,60,26.32
"พื้นที่สูง",2566,13,"นักเรียนยากจน","count","21–50","21–50",,63,27.63
"พื้นที่สูง",2566,13,"นักเรียนยากจน","count","51–100","51–100",,33,14.47
"พื้นที่สูง",2566,13,"นักเรียนยากจน","count","101–200","101–200",,20,8.77
"พื้นที่สูง",2566,13,"นักเรียนยากจน","count","≥ 201","≥ 201",,10,4.39
"พื้นที่สูง",2567,13,"นักเรียนยากจน","count","0 คน","0 คน",,20,32.79
"พื้นที่สูง",2567,13,"นักเรียนยากจน","count","1–20","1–20",,13,21.31
"พื้นที่สูง",2567,13,"นักเรียนยากจน","count","21–50","21–50",,17,27.87
"พื้นที่สูง",2567,13,"นักเรียนยากจน","count","51–100","51–100",,6,9.84
"พื้นที่สูง",2567,13,"นักเรียนยากจน","count","101–200","101–200",,3,4.92
"พื้นที่สูง",2567,13,"นักเรียนยากจน","count","≥ 201","≥ 201",,2,3.28
"พื้นที่สูง",2569,13,"นักเรียนยากจน","count","0 คน","0 คน",,29,39.73
"พื้นที่สูง",2569,13,"นักเรียนยากจน","count","1–20","1–20",,20,27.4
"พื้นที่สูง",2569,13,"นักเรียนยากจน","count","21–50","21–50",,16,21.92
"พื้นที่สูง",2569,13,"นักเรียนยากจน","count","51–100","51–100",,2,2.74
"พื้นที่สูง",2569,13,"นักเรียนยากจน","count","101–200","101–200",,5,6.85
"พื้นที่สูง",2569,13,"นักเรียนยากจน","count","≥ 201","≥ 201",,1,1.37
"พื้นที่สูง",2565,14,"นักเรียนพักนอน","count","0 คน","0 คน",,1179,72.64
"พื้นที่สูง",2565,14,"นักเรียนพักนอน","count","1–10","1–10",,75,4.62
"พื้นที่สูง",2565,14,"นักเรียนพักนอน","count","11–30","11–30",,141,8.69
"พื้นที่สูง",2565,14,"นักเรียนพักนอน","count","31–50","31–50",,90,5.55
"พื้นที่สูง",2565,14,"นักเรียนพักนอน","count","≥ 51","≥ 51",,138,8.5
"พื้นที่สูง",2566,14,"นักเรียนพักนอน","count","0 คน","0 คน",,202,88.6
"พื้นที่สูง",2566,14,"นักเรียนพักนอน","count","1–10","1–10",,2,0.88
"พื้นที่สูง",2566,14,"นักเรียนพักนอน","count","11–30","11–30",,5,2.19
"พื้นที่สูง",2566,14,"นักเรียนพักนอน","count","31–50","31–50",,2,0.88
"พื้นที่สูง",2566,14,"นักเรียนพักนอน","count","≥ 51","≥ 51",,17,7.46
"พื้นที่สูง",2567,14,"นักเรียนพักนอน","count","0 คน","0 คน",,56,91.8
"พื้นที่สูง",2567,14,"นักเรียนพักนอน","count","1–10","1–10",,0,0
"พื้นที่สูง",2567,14,"นักเรียนพักนอน","count","11–30","11–30",,2,3.28
"พื้นที่สูง",2567,14,"นักเรียนพักนอน","count","31–50","31–50",,1,1.64
"พื้นที่สูง",2567,14,"นักเรียนพักนอน","count","≥ 51","≥ 51",,2,3.28
"พื้นที่สูง",2569,14,"นักเรียนพักนอน","count","0 คน","0 คน",,72,98.63
"พื้นที่สูง",2569,14,"นักเรียนพักนอน","count","1–10","1–10",,0,0
"พื้นที่สูง",2569,14,"นักเรียนพักนอน","count","11–30","11–30",,1,1.37
"พื้นที่สูง",2569,14,"นักเรียนพักนอน","count","31–50","31–50",,0,0
"พื้นที่สูง",2569,14,"นักเรียนพักนอน","count","≥ 51","≥ 51",,0,0
"พื้นที่สูง",2565,15,"สาขา","count","ไม่มีสาขา","ไม่มีสาขา",,1492,91.93
"พื้นที่สูง",2565,15,"สาขา","count","1 แห่ง","1 แห่ง",,99,6.1
"พื้นที่สูง",2565,15,"สาขา","count","2 แห่ง","2 แห่ง",,12,0.74
"พื้นที่สูง",2565,15,"สาขา","count","≥ 3 แห่ง","≥ 3 แห่ง",,20,1.23
"พื้นที่สูง",2566,15,"สาขา","count","ไม่มีสาขา","ไม่มีสาขา",,225,98.68
"พื้นที่สูง",2566,15,"สาขา","count","1 แห่ง","1 แห่ง",,2,0.88
"พื้นที่สูง",2566,15,"สาขา","count","2 แห่ง","2 แห่ง",,0,0
"พื้นที่สูง",2566,15,"สาขา","count","≥ 3 แห่ง","≥ 3 แห่ง",,1,0.44
"พื้นที่สูง",2567,15,"สาขา","count","ไม่มีสาขา","ไม่มีสาขา",,60,98.36
"พื้นที่สูง",2567,15,"สาขา","count","1 แห่ง","1 แห่ง",,1,1.64
"พื้นที่สูง",2567,15,"สาขา","count","2 แห่ง","2 แห่ง",,0,0
"พื้นที่สูง",2567,15,"สาขา","count","≥ 3 แห่ง","≥ 3 แห่ง",,0,0
"พื้นที่สูง",2569,15,"สาขา","count","ไม่มีสาขา","ไม่มีสาขา",,72,98.63
"พื้นที่สูง",2569,15,"สาขา","count","1 แห่ง","1 แห่ง",,1,1.37
"พื้นที่สูง",2569,15,"สาขา","count","2 แห่ง","2 แห่ง",,0,0
"พื้นที่สูง",2569,15,"สาขา","count","≥ 3 แห่ง","≥ 3 แห่ง",,0,0
"พื้นที่สูง",2565,16,"ประกาศคลัง","binary","1","1. ใช่",5,540,33.27
"พื้นที่สูง",2565,16,"ประกาศคลัง","binary","2","2. ไม่ใช่",0,1029,63.4
"พื้นที่สูง",2565,16,"ประกาศคลัง","binary","blank","(ไม่ได้กรอก)",,54,3.33
"พื้นที่สูง",2566,16,"ประกาศคลัง","binary","1","1. ใช่",5,3,1.32
"พื้นที่สูง",2566,16,"ประกาศคลัง","binary","2","2. ไม่ใช่",0,202,88.6
"พื้นที่สูง",2566,16,"ประกาศคลัง","binary","blank","(ไม่ได้กรอก)",,23,10.09
"พื้นที่สูง",2567,16,"ประกาศคลัง","binary","1","1. ใช่",5,2,3.28
"พื้นที่สูง",2567,16,"ประกาศคลัง","binary","2","2. ไม่ใช่",0,46,75.41
"พื้นที่สูง",2567,16,"ประกาศคลัง","binary","blank","(ไม่ได้กรอก)",,13,21.31
"พื้นที่สูง",2569,16,"ประกาศคลัง","binary","1","1. ใช่",5,4,5.48
"พื้นที่สูง",2569,16,"ประกาศคลัง","binary","2","2. ไม่ใช่",0,42,57.53
"พื้นที่สูง",2569,16,"ประกาศคลัง","binary","blank","(ไม่ได้กรอก)",,27,36.99
"พื้นที่เกาะ",2565,1,"เป็นเกาะ","binary","1","1. ใช่",0,0,0
"พื้นที่เกาะ",2565,1,"เป็นเกาะ","binary","2","2. ไม่ใช่",0,0,0
"พื้นที่เกาะ",2566,1,"เป็นเกาะ","binary","1","1. ใช่",0,0,0
"พื้นที่เกาะ",2566,1,"เป็นเกาะ","binary","2","2. ไม่ใช่",0,0,0
"พื้นที่เกาะ",2568,1,"เป็นเกาะ","binary","1","1. ใช่",0,0,0
"พื้นที่เกาะ",2568,1,"เป็นเกาะ","binary","2","2. ไม่ใช่",0,0,0
"พื้นที่เกาะ",2569,1,"เป็นเกาะ","binary","1","1. ใช่",0,0,0
"พื้นที่เกาะ",2569,1,"เป็นเกาะ","binary","2","2. ไม่ใช่",0,0,0
"พื้นที่เกาะ",2565,2,"เขต อปท.","ordinal","1","1. อบต.",10,65,55.08
"พื้นที่เกาะ",2565,2,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",8,32,27.12
"พื้นที่เกาะ",2565,2,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",6,1,0.85
"พื้นที่เกาะ",2565,2,"เขต อปท.","ordinal","4","4. เทศบาลนคร",4,20,16.95
"พื้นที่เกาะ",2566,2,"เขต อปท.","ordinal","1","1. อบต.",10,3,75
"พื้นที่เกาะ",2566,2,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",8,0,0
"พื้นที่เกาะ",2566,2,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",6,0,0
"พื้นที่เกาะ",2566,2,"เขต อปท.","ordinal","4","4. เทศบาลนคร",4,1,25
"พื้นที่เกาะ",2568,2,"เขต อปท.","ordinal","1","1. อบต.",10,4,100
"พื้นที่เกาะ",2568,2,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",8,0,0
"พื้นที่เกาะ",2568,2,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",6,0,0
"พื้นที่เกาะ",2568,2,"เขต อปท.","ordinal","4","4. เทศบาลนคร",4,0,0
"พื้นที่เกาะ",2569,2,"เขต อปท.","ordinal","1","1. อบต.",10,0,0
"พื้นที่เกาะ",2569,2,"เขต อปท.","ordinal","2","2. เทศบาลตำบล",8,2,50
"พื้นที่เกาะ",2569,2,"เขต อปท.","ordinal","3","3. เทศบาลเมือง",6,0,0
"พื้นที่เกาะ",2569,2,"เขต อปท.","ordinal","4","4. เทศบาลนคร",4,1,25
"พื้นที่เกาะ",2569,2,"เขต อปท.","ordinal","blank","(ไม่ได้กรอก)",,1,25
"พื้นที่เกาะ",2565,3,"ลักษณะที่ตั้ง","binary","1","1. ไม่มีสะพาน — ไปได้ทางเรือเท่านั้น",16,117,99.15
"พื้นที่เกาะ",2565,3,"ลักษณะที่ตั้ง","binary","2","2. มีสะพาน / ไปได้ทั้งทางบกและน้ำ",0,1,0.85
"พื้นที่เกาะ",2566,3,"ลักษณะที่ตั้ง","binary","1","1. ไม่มีสะพาน — ไปได้ทางเรือเท่านั้น",16,4,100
"พื้นที่เกาะ",2566,3,"ลักษณะที่ตั้ง","binary","2","2. มีสะพาน / ไปได้ทั้งทางบกและน้ำ",0,0,0
"พื้นที่เกาะ",2568,3,"ลักษณะที่ตั้ง","binary","1","1. ไม่มีสะพาน — ไปได้ทางเรือเท่านั้น",16,4,100
"พื้นที่เกาะ",2568,3,"ลักษณะที่ตั้ง","binary","2","2. มีสะพาน / ไปได้ทั้งทางบกและน้ำ",0,0,0
"พื้นที่เกาะ",2569,3,"ลักษณะที่ตั้ง","binary","1","1. ไม่มีสะพาน — ไปได้ทางเรือเท่านั้น",16,3,75
"พื้นที่เกาะ",2569,3,"ลักษณะที่ตั้ง","binary","2","2. มีสะพาน / ไปได้ทั้งทางบกและน้ำ",0,0,0
"พื้นที่เกาะ",2569,3,"ลักษณะที่ตั้ง","binary","blank","(ไม่ได้กรอก)",,1,25
"พื้นที่เกาะ",2565,4,"พาหนะหลัก","ordinal","1","1. เรือไม่ประจำทาง",20,21,17.8
"พื้นที่เกาะ",2565,4,"พาหนะหลัก","ordinal","2","2. เรือประจำทาง ไม่ตลอดปี",15,38,32.2
"พื้นที่เกาะ",2565,4,"พาหนะหลัก","ordinal","3","3. เรือประจำทาง ตลอดปี",10,16,13.56
"พื้นที่เกาะ",2565,4,"พาหนะหลัก","ordinal","4","4. เรือเฟอร์รี่/แพขนานยนต์",5,43,36.44
"พื้นที่เกาะ",2565,4,"พาหนะหลัก","ordinal","5","5. ใช้รถเป็นหลัก",0,0,0
"พื้นที่เกาะ",2566,4,"พาหนะหลัก","ordinal","1","1. เรือไม่ประจำทาง",20,3,75
"พื้นที่เกาะ",2566,4,"พาหนะหลัก","ordinal","2","2. เรือประจำทาง ไม่ตลอดปี",15,0,0
"พื้นที่เกาะ",2566,4,"พาหนะหลัก","ordinal","3","3. เรือประจำทาง ตลอดปี",10,0,0
"พื้นที่เกาะ",2566,4,"พาหนะหลัก","ordinal","4","4. เรือเฟอร์รี่/แพขนานยนต์",5,1,25
"พื้นที่เกาะ",2566,4,"พาหนะหลัก","ordinal","5","5. ใช้รถเป็นหลัก",0,0,0
"พื้นที่เกาะ",2568,4,"พาหนะหลัก","ordinal","1","1. เรือไม่ประจำทาง",20,2,50
"พื้นที่เกาะ",2568,4,"พาหนะหลัก","ordinal","2","2. เรือประจำทาง ไม่ตลอดปี",15,2,50
"พื้นที่เกาะ",2568,4,"พาหนะหลัก","ordinal","3","3. เรือประจำทาง ตลอดปี",10,0,0
"พื้นที่เกาะ",2568,4,"พาหนะหลัก","ordinal","4","4. เรือเฟอร์รี่/แพขนานยนต์",5,0,0
"พื้นที่เกาะ",2568,4,"พาหนะหลัก","ordinal","5","5. ใช้รถเป็นหลัก",0,0,0
"พื้นที่เกาะ",2569,4,"พาหนะหลัก","ordinal","1","1. เรือไม่ประจำทาง",20,0,0
"พื้นที่เกาะ",2569,4,"พาหนะหลัก","ordinal","2","2. เรือประจำทาง ไม่ตลอดปี",15,0,0
"พื้นที่เกาะ",2569,4,"พาหนะหลัก","ordinal","3","3. เรือประจำทาง ตลอดปี",10,1,25
"พื้นที่เกาะ",2569,4,"พาหนะหลัก","ordinal","4","4. เรือเฟอร์รี่/แพขนานยนต์",5,2,50
"พื้นที่เกาะ",2569,4,"พาหนะหลัก","ordinal","5","5. ใช้รถเป็นหลัก",0,0,0
"พื้นที่เกาะ",2569,4,"พาหนะหลัก","ordinal","blank","(ไม่ได้กรอก)",,1,25
"พื้นที่เกาะ",2565,5,"ระยะทางบก","continuous","0","0",,0,0
"พื้นที่เกาะ",2565,5,"ระยะทางบก","continuous","0.01–4.99","0.01–4.99",,2,1.69
"พื้นที่เกาะ",2565,5,"ระยะทางบก","continuous","5–9.99","5–9.99",,6,5.08
"พื้นที่เกาะ",2565,5,"ระยะทางบก","continuous","10–19.99","10–19.99",,18,15.25
"พื้นที่เกาะ",2565,5,"ระยะทางบก","continuous","≥ 20","≥ 20",,92,77.97
"พื้นที่เกาะ",2566,5,"ระยะทางบก","continuous","0","0",,0,0
"พื้นที่เกาะ",2566,5,"ระยะทางบก","continuous","0.01–4.99","0.01–4.99",,2,50
"พื้นที่เกาะ",2566,5,"ระยะทางบก","continuous","5–9.99","5–9.99",,1,25
"พื้นที่เกาะ",2566,5,"ระยะทางบก","continuous","10–19.99","10–19.99",,0,0
"พื้นที่เกาะ",2566,5,"ระยะทางบก","continuous","≥ 20","≥ 20",,1,25
"พื้นที่เกาะ",2568,5,"ระยะทางบก","continuous","0","0",,0,0
"พื้นที่เกาะ",2568,5,"ระยะทางบก","continuous","0.01–4.99","0.01–4.99",,0,0
"พื้นที่เกาะ",2568,5,"ระยะทางบก","continuous","5–9.99","5–9.99",,0,0
"พื้นที่เกาะ",2568,5,"ระยะทางบก","continuous","10–19.99","10–19.99",,3,75
"พื้นที่เกาะ",2568,5,"ระยะทางบก","continuous","≥ 20","≥ 20",,1,25
"พื้นที่เกาะ",2569,5,"ระยะทางบก","continuous","0","0",,1,25
"พื้นที่เกาะ",2569,5,"ระยะทางบก","continuous","0.01–4.99","0.01–4.99",,0,0
"พื้นที่เกาะ",2569,5,"ระยะทางบก","continuous","5–9.99","5–9.99",,0,0
"พื้นที่เกาะ",2569,5,"ระยะทางบก","continuous","10–19.99","10–19.99",,0,0
"พื้นที่เกาะ",2569,5,"ระยะทางบก","continuous","≥ 20","≥ 20",,3,75
"พื้นที่เกาะ",2565,6,"ระยะทางน้ำ","continuous","0","0",,1,0.85
"พื้นที่เกาะ",2565,6,"ระยะทางน้ำ","continuous","0.01–4.99","0.01–4.99",,34,28.81
"พื้นที่เกาะ",2565,6,"ระยะทางน้ำ","continuous","5–9.99","5–9.99",,25,21.19
"พื้นที่เกาะ",2565,6,"ระยะทางน้ำ","continuous","10–19.99","10–19.99",,6,5.08
"พื้นที่เกาะ",2565,6,"ระยะทางน้ำ","continuous","≥ 20","≥ 20",,52,44.07
"พื้นที่เกาะ",2566,6,"ระยะทางน้ำ","continuous","0","0",,0,0
"พื้นที่เกาะ",2566,6,"ระยะทางน้ำ","continuous","0.01–4.99","0.01–4.99",,3,75
"พื้นที่เกาะ",2566,6,"ระยะทางน้ำ","continuous","5–9.99","5–9.99",,0,0
"พื้นที่เกาะ",2566,6,"ระยะทางน้ำ","continuous","10–19.99","10–19.99",,0,0
"พื้นที่เกาะ",2566,6,"ระยะทางน้ำ","continuous","≥ 20","≥ 20",,1,25
"พื้นที่เกาะ",2568,6,"ระยะทางน้ำ","continuous","0","0",,0,0
"พื้นที่เกาะ",2568,6,"ระยะทางน้ำ","continuous","0.01–4.99","0.01–4.99",,0,0
"พื้นที่เกาะ",2568,6,"ระยะทางน้ำ","continuous","5–9.99","5–9.99",,1,25
"พื้นที่เกาะ",2568,6,"ระยะทางน้ำ","continuous","10–19.99","10–19.99",,2,50
"พื้นที่เกาะ",2568,6,"ระยะทางน้ำ","continuous","≥ 20","≥ 20",,1,25
"พื้นที่เกาะ",2569,6,"ระยะทางน้ำ","continuous","0","0",,1,25
"พื้นที่เกาะ",2569,6,"ระยะทางน้ำ","continuous","0.01–4.99","0.01–4.99",,0,0
"พื้นที่เกาะ",2569,6,"ระยะทางน้ำ","continuous","5–9.99","5–9.99",,0,0
"พื้นที่เกาะ",2569,6,"ระยะทางน้ำ","continuous","10–19.99","10–19.99",,0,0
"พื้นที่เกาะ",2569,6,"ระยะทางน้ำ","continuous","≥ 20","≥ 20",,3,75
"พื้นที่เกาะ",2565,7,"เวลาเดินทาง","continuous","0","0",,1,0.85
"พื้นที่เกาะ",2565,7,"เวลาเดินทาง","continuous","1–29","1–29",,38,32.2
"พื้นที่เกาะ",2565,7,"เวลาเดินทาง","continuous","30–59","30–59",,38,32.2
"พื้นที่เกาะ",2565,7,"เวลาเดินทาง","continuous","60–89","60–89",,8,6.78
"พื้นที่เกาะ",2565,7,"เวลาเดินทาง","continuous","≥ 90","≥ 90",,33,27.97
"พื้นที่เกาะ",2566,7,"เวลาเดินทาง","continuous","0","0",,0,0
"พื้นที่เกาะ",2566,7,"เวลาเดินทาง","continuous","1–29","1–29",,3,75
"พื้นที่เกาะ",2566,7,"เวลาเดินทาง","continuous","30–59","30–59",,0,0
"พื้นที่เกาะ",2566,7,"เวลาเดินทาง","continuous","60–89","60–89",,0,0
"พื้นที่เกาะ",2566,7,"เวลาเดินทาง","continuous","≥ 90","≥ 90",,1,25
"พื้นที่เกาะ",2568,7,"เวลาเดินทาง","continuous","0","0",,0,0
"พื้นที่เกาะ",2568,7,"เวลาเดินทาง","continuous","1–29","1–29",,0,0
"พื้นที่เกาะ",2568,7,"เวลาเดินทาง","continuous","30–59","30–59",,1,25
"พื้นที่เกาะ",2568,7,"เวลาเดินทาง","continuous","60–89","60–89",,3,75
"พื้นที่เกาะ",2568,7,"เวลาเดินทาง","continuous","≥ 90","≥ 90",,0,0
"พื้นที่เกาะ",2569,7,"เวลาเดินทาง","continuous","0","0",,1,25
"พื้นที่เกาะ",2569,7,"เวลาเดินทาง","continuous","1–29","1–29",,0,0
"พื้นที่เกาะ",2569,7,"เวลาเดินทาง","continuous","30–59","30–59",,0,0
"พื้นที่เกาะ",2569,7,"เวลาเดินทาง","continuous","60–89","60–89",,0,0
"พื้นที่เกาะ",2569,7,"เวลาเดินทาง","continuous","≥ 90","≥ 90",,3,75
"พื้นที่เกาะ",2565,8,"ค่าโดยสาร","continuous","0","0",,1,0.85
"พื้นที่เกาะ",2565,8,"ค่าโดยสาร","continuous","1–49","1–49",,16,13.56
"พื้นที่เกาะ",2565,8,"ค่าโดยสาร","continuous","50–99","50–99",,9,7.63
"พื้นที่เกาะ",2565,8,"ค่าโดยสาร","continuous","100–299","100–299",,32,27.12
"พื้นที่เกาะ",2565,8,"ค่าโดยสาร","continuous","300–499","300–499",,36,30.51
"พื้นที่เกาะ",2565,8,"ค่าโดยสาร","continuous","≥ 500","≥ 500",,24,20.34
"พื้นที่เกาะ",2566,8,"ค่าโดยสาร","continuous","0","0",,0,0
"พื้นที่เกาะ",2566,8,"ค่าโดยสาร","continuous","1–49","1–49",,0,0
"พื้นที่เกาะ",2566,8,"ค่าโดยสาร","continuous","50–99","50–99",,0,0
"พื้นที่เกาะ",2566,8,"ค่าโดยสาร","continuous","100–299","100–299",,3,75
"พื้นที่เกาะ",2566,8,"ค่าโดยสาร","continuous","300–499","300–499",,0,0
"พื้นที่เกาะ",2566,8,"ค่าโดยสาร","continuous","≥ 500","≥ 500",,1,25
"พื้นที่เกาะ",2568,8,"ค่าโดยสาร","continuous","0","0",,0,0
"พื้นที่เกาะ",2568,8,"ค่าโดยสาร","continuous","1–49","1–49",,0,0
"พื้นที่เกาะ",2568,8,"ค่าโดยสาร","continuous","50–99","50–99",,1,25
"พื้นที่เกาะ",2568,8,"ค่าโดยสาร","continuous","100–299","100–299",,2,50
"พื้นที่เกาะ",2568,8,"ค่าโดยสาร","continuous","300–499","300–499",,1,25
"พื้นที่เกาะ",2568,8,"ค่าโดยสาร","continuous","≥ 500","≥ 500",,0,0
"พื้นที่เกาะ",2569,8,"ค่าโดยสาร","continuous","0","0",,1,25
"พื้นที่เกาะ",2569,8,"ค่าโดยสาร","continuous","1–49","1–49",,0,0
"พื้นที่เกาะ",2569,8,"ค่าโดยสาร","continuous","50–99","50–99",,0,0
"พื้นที่เกาะ",2569,8,"ค่าโดยสาร","continuous","100–299","100–299",,0,0
"พื้นที่เกาะ",2569,8,"ค่าโดยสาร","continuous","300–499","300–499",,1,25
"พื้นที่เกาะ",2569,8,"ค่าโดยสาร","continuous","≥ 500","≥ 500",,2,50
"พื้นที่เกาะ",2565,9,"เดินทางต่อ","ordinal","1","1. ทางเรือแล้วต่อด้วยเดินเท้า",5,1,0.85
"พื้นที่เกาะ",2565,9,"เดินทางต่อ","ordinal","2","2. เดินเท้าเท่านั้น",4,13,11.02
"พื้นที่เกาะ",2565,9,"เดินทางต่อ","ordinal","3","3. รถบนทางลำลอง/ทางเท้า",3,4,3.39
"พื้นที่เกาะ",2565,9,"เดินทางต่อ","ordinal","4","4. รถบนทางลาดยาง/คอนกรีต",2,96,81.36
"พื้นที่เกาะ",2565,9,"เดินทางต่อ","ordinal","5","5. ไม่ต้องเดินทางต่อ",1,4,3.39
"พื้นที่เกาะ",2566,9,"เดินทางต่อ","ordinal","1","1. ทางเรือแล้วต่อด้วยเดินเท้า",5,0,0
"พื้นที่เกาะ",2566,9,"เดินทางต่อ","ordinal","2","2. เดินเท้าเท่านั้น",4,0,0
"พื้นที่เกาะ",2566,9,"เดินทางต่อ","ordinal","3","3. รถบนทางลำลอง/ทางเท้า",3,0,0
"พื้นที่เกาะ",2566,9,"เดินทางต่อ","ordinal","4","4. รถบนทางลาดยาง/คอนกรีต",2,4,100
"พื้นที่เกาะ",2566,9,"เดินทางต่อ","ordinal","5","5. ไม่ต้องเดินทางต่อ",1,0,0
"พื้นที่เกาะ",2568,9,"เดินทางต่อ","ordinal","1","1. ทางเรือแล้วต่อด้วยเดินเท้า",5,0,0
"พื้นที่เกาะ",2568,9,"เดินทางต่อ","ordinal","2","2. เดินเท้าเท่านั้น",4,1,25
"พื้นที่เกาะ",2568,9,"เดินทางต่อ","ordinal","3","3. รถบนทางลำลอง/ทางเท้า",3,1,25
"พื้นที่เกาะ",2568,9,"เดินทางต่อ","ordinal","4","4. รถบนทางลาดยาง/คอนกรีต",2,1,25
"พื้นที่เกาะ",2568,9,"เดินทางต่อ","ordinal","5","5. ไม่ต้องเดินทางต่อ",1,1,25
